"run","PlaceInLine","PanicFlag","PanicPanic","LiquidityPanic","PartialShock","PurePanic","NeighborPanicCount","OthersConsumption","tick"
5,48,"true","true","true","true","true",4,1.0402101491784098E7,8.0
5,2,"true","false","true","true","true",0,8772918.966981644,8.0
5,30,"false","false","false","false","false",3,9752388.968179254,8.0
5,10,"true","false","true","true","true",1,9196654.868670154,8.0
5,14,"true","true","true","true","true",3,1.1039807314097458E7,8.0
5,94,"true","true","true","true","true",9,1.2855759280822223E7,8.0
5,70,"true","true","true","true","true",6,1.1244532939421043E7,8.0
5,50,"true","true","true","true","true",6,1.1230891433541745E7,8.0
5,43,"true","false","true","true","true",3,9839727.148077339,8.0
5,73,"true","false","true","true","true",7,1.2486738613191344E7,8.0
5,88,"true","true","true","true","true",9,1.377593998364075E7,8.0
5,52,"true","false","true","true","true",2,1.0076212608526638E7,8.0
5,63,"true","true","true","true","true",6,1.0507884667132476E7,8.0
5,85,"true","true","true","true","true",8,1.3053765840190817E7,8.0
5,3,"true","false","true","true","true",0,8476073.432786774,8.0
5,69,"true","true","true","true","true",5,1.0743969442876754E7,8.0
5,90,"true","true","true","true","true",8,1.3098937376232907E7,8.0
5,64,"true","true","true","true","true",3,9664947.844687082,8.0
5,41,"true","true","true","true","true",5,1.0681233911174612E7,8.0
5,76,"true","true","true","true","true",5,1.1934579203131273E7,8.0
5,91,"true","true","true","true","true",9,1.3847124366939653E7,8.0
5,27,"true","true","true","true","true",3,1.097469219069992E7,8.0
