run,Consumer Total Panics,Consumer Liquidity Panics,Consumer Panic Panics,Consumer Estimated Liquidity Withdrawals,Consumer Estimated Panic Withdrawals,Consumer People Seen Panic,Consumers Shocked,Consumer Cash,Consumer Pure Panic,Bank Total Assets,Bank Total Liabilities,Bank Short Term Assets,Bank Long Term Assets,tick,DD Initial Withdrawals,Consumer Partial Shock,Consumer Count,Consumer Total Assets,Bank Failures,Consumer Seen Panic Proportion,Bank Total Assets After Initial Withdrawals,Bank Net Worth
19,0,0,0,2838424.499,0,0,0.509090909,0,0,6.16E+07,6.16E+07,3.94E+07,2.22E+07,129,2417128.958,0.490909091,55,6.16E+07,0,0,6.16E+07,-2794.296656
19,0,0,0,1955494.201,1.85E-06,0,0.425925926,0,0,7.75E+07,7.93E+07,3.82E+07,3.94E+07,141,1836880.575,0.425925926,54,7.93E+07,0,1.85E-07,7.75E+07,-1718428.468
21,0,0,0,3496712.554,0,0,0.39,0,0,1.27E+07,1.45E+07,6965557.989,5750001.438,9,3034442.011,0.39,100,1.45E+07,0,0,1.27E+07,-1775376.194
21,0,0,0,3467882.878,0,0,0.38,0,0,1.40E+07,1.62E+07,7058239.19,6965557.989,21,2952176.806,0.37,100,1.62E+07,0,0,1.40E+07,-2150001.352
21,0,0,0,3579815.21,0,0,0.444444444,0,0,1.60E+07,1.80E+07,8901931.5,7058239.19,33,3605662.99,0.393939394,99,1.80E+07,0,0,1.60E+07,-2072848.202
21,0,0,0,3336937.346,0,0,0.425531915,0,0,1.83E+07,2.07E+07,9372361.055,8901931.5,45,3238164.991,0.372340426,94,2.07E+07,0,0,1.83E+07,-2475456.641
21,0,0,0,3719265.155,0,0,0.471910112,0,0,2.19E+07,2.41E+07,1.25E+07,9372361.055,57,3448077.354,0.426966292,89,2.41E+07,0,0,2.19E+07,-2271176.308
21,0,0,0,3312718.609,0,0,0.435294118,0,0,2.63E+07,2.90E+07,1.38E+07,1.25E+07,69,2887923.2,0.411764706,85,2.90E+07,0,0,2.63E+07,-2691855.028
21,0,0,0,4065180.761,0,0,0.506024096,0,0,3.24E+07,3.46E+07,1.86E+07,1.38E+07,81,3730829.068,0.493975904,83,3.46E+07,0,0,3.24E+07,-2163376.65
21,0,0,0,3461152.778,0,0,0.463414634,0,0,4.01E+07,4.24E+07,2.15E+07,1.86E+07,93,3169123.387,0.451219512,82,4.24E+07,0,0,4.01E+07,-2247098.869
